,age,weight,height,gender,activity,kcal,breakfast,breakfast_kcal,lunch,lunch_kcal,dinner,dinner_kcal,total_kcal,workout,workout_kcal,label
2016-12-29 22:20:03.210235,23,75,176,male,light,2392.5,"CRACKERS,WHEAT,SNDWCH,W/PNUT BUTTER FILLING",495,"GAME MEAT,MUSKRAT,CKD,RSTD",234,"PEACHES,RAW",39,768,Playing with Kids (sitting),180.0,0
2016-12-30 22:20:03.210235,23,75,176,male,light,2392.5,"SQUASH,SMMR,ALL VAR,RAW",16,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",371,"TOASTER PASTRIES,KELLOGG,KELLOGG'S POP TRTS,FRSTD BR SGR CIN",417,804,Stretching/Yoga,270.0,0
2016-12-31 22:20:03.210235,23,75,176,male,low,2088.0,"CEREALS,MALT-O-MEAL,PLN,PREP W/ H2O,WO/ SALT",42,"BEEF STEW,CANNED ENTREE",99,"TAMALES,MASA & PORK FILLING (HOPI)",168,309,Weight Training (light),225.0,0
2017-01-01 22:20:03.210235,23,75,176,male,heavy,3001.5,"FROSTINGS,CHOC,CREAMY,DRY MIX",389,"BABYFOOD,DSSRT,PEACH COBBLER,STR",65,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C",50,504,Rowing (200W),945.0,1
2017-01-02 22:20:03.210235,23,75,176,male,mid,2697.0,"BROCCOLI RAAB,CKD",33,"INF FORMULA,ABBOTT NUTR,SIMILAC,LO IRON,LIQ CONC,NOT RECON",127,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,RAW",114,274,Playing with Kids (sitting),180.0,0
2017-01-03 22:20:03.210235,23,75,176,male,low,2088.0,"POPEYES,BATTER FRIES,ANALYZED PRIOR TO DECEMBER 2006",302,"BABYFOOD,YOGURT,WHL MILK,W/ FRUIT,MULTIGRAIN CRL & IRON",92,"INF FORMULA,ABBOTT NUTR,SIMILAC,LO IRON,LIQ CONC,NOT RECON",127,521,Cooking Food,180.0,0
2017-01-04 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR",363,"SQUAB,(PIGEON),MEAT ONLY,RAW",142,"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",373,878,Rowing (50W),270.0,0
2017-01-05 22:20:03.210235,23,75,176,male,light,2392.5,"PIE CRUST,STANDARD-TYPE,PREP FROM RECIPE,UNBAKED",469,"BEEF,AUSTRALIAN,WAGYU,SEAM FAT,MRBL SCR 4/5,RAW",594,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,ROTISSERIE,OR",196,1259,Sexual Activity (active),135.0,0
2017-01-06 22:20:03.210235,23,75,176,male,mid,2697.0,"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",48,"USDA CMDTY,PORK,CND",196,"CANDIES,DIVINITY,PREPARED-FROM-RECIPE",364,608,Carrying Groceries (light),315.00000000000006,0
2017-01-07 22:20:03.210235,23,75,176,male,light,2392.5,"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",112,"BEEF,TENDERLOIN,STEAK,LN,1/8"" FAT,SEL,CKD,BRLD",194,"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",365,671,Swimming (light),450.0,0
2017-01-08 22:20:03.210235,23,75,176,male,heavy,3001.5,"BEEF,RND,TIP RND,LN&FAT,1/8""FAT,CHOIC,RAW",199,"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",56,"BF,CHUCK,SHLDR CLOD, TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,RAW",140,395,"Walking (3.5 mph, 17 min/mile)",315.00000000000006,0
2017-01-09 22:20:03.210235,23,75,176,male,mid,2697.0,"ENDIVE,RAW",17,"APPLES,FRZ,UNSWTND,HTD",47,"CEREALS RTE,QUAKER SQUARES,GOLDEN MAPLE",380,444,Racquetball (recreational),315.00000000000006,0
2017-01-10 22:20:03.210235,23,75,176,male,low,2088.0,"SPAGHETTI,SPINACH,DRY",372,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",32,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K BLUEBERRY",363,767,Rowing (200W),945.0,1
2017-01-11 22:20:03.210235,23,75,176,male,low,2088.0,"WATER W/ ADDED VITAMINS & MINERALS,SWTND, FRUIT FLAVORS",22,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD",178,"FISH,SALMON,PINK,CND,DRND SOL",138,338,Golf (walking + bag),405.0,1
2017-01-12 22:20:03.210235,23,75,176,male,low,2088.0,"OSTRICH,OUTSIDE STRIP,CKD",156,"TURKEY FROM WHL,ENHANCED,LT MEAT,MEAT ONLY,CKD,RSTD",127,"VEAL,SIRLOIN,LN,CKD,BRSD",204,487,House Cleaning,270.0,0
2017-01-13 22:20:03.210235,23,75,176,male,low,2088.0,"SOY FLOUR,LOW-FAT",375,"SYRUP,MAPLE,CANADIAN",270,"CANDIES,TRUFFLES,PREPARED-FROM-RECIPE",510,1155,"Cycling (stationary, 50W)",225.0,0
2017-01-14 22:20:03.210235,23,75,176,male,low,2088.0,"VEAL,SHLDR,WHL (ARM&BLD),LN,RAW",112,"PORK,CURED,HAM,EX LN&REG,CND,UNHTD",144,"KELLOGG'S,POP-TARTS,FRSTD WILD STRAWBERRY TOASTER PASTRIES",391,647,"Cycling (stationary, 250W)",990.0,1
2017-01-15 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200,"TOASTER PASTRIES,KELLOGG,KELLOGG'S POP TARTS,FRSTD CHOC FUDG",384,"DIGIORNO PIZZA,PEPPERONI TOPPING,RISING CRUST,FRZ,BKD",265,849,Weeding/Gardening,315.00000000000006,0
2017-01-16 22:20:03.210235,23,75,176,male,mid,2697.0,"INF FOR,ME JOHNS,ENFAMIL,LACTOF LIPIL,W/ IR,PDR,W/ ARA & DHA",521,"SALAD DRSNG,MAYO,IMITN,SOYBN",232,"BEEF,RIB,SML END (RIBS 10-12),LN,0""FAT,CHOIC,CKD,BRLD",225,978,Dancing (general),360.0,0
2017-01-17 22:20:03.210235,23,75,176,male,heavy,3001.5,"PORK,FRSH,BACKRIBS,LN&FAT,CKD,RSTD",292,"PLANTAINS,RAW",122,"TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",21,435,"Running (6.6 mph, 9 min/mile)",855.0,1
2017-01-18 22:20:03.210235,23,75,176,male,mid,2697.0,"CRACKERS,CRM,LA MODERNA RIKIS CRM CRACKERS",422,"VITASOY USA,ORGANIC NASOYA EX FIRM TOFU",98,"POTATOES,RED,FLESH & SKN,BKD",89,609,"Walking (3.5 mph, 17 min/mile)",315.00000000000006,0
2017-01-19 22:20:03.210235,23,75,176,male,heavy,3001.5,"RICE,RICE PILAF FLAVOR,PREP W/ 80% MARGARINE",148,"ICE CREAMS,FRENCH VANILLA,SOFT-SERVE",222,"BEEF,RND,EYE OF RND,RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",168,538,Weight Training (light),225.0,0
2017-01-20 22:20:03.210235,23,75,176,male,very_heavy,3306.0,FRANKFURTER  BF  HTD,322,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",250,"OIL,INDUSTRIAL,SOY (PART HYDR),FOR NON-DAIRY BUTTER FLAVOR",884,1456,"Cycling (stationary, 100W)",405.0,0
2017-01-21 22:20:03.210235,23,75,176,male,low,2088.0,"KEEBLER,TOASTEDS,BUTTERCRISPS CRACKERS",495,"BABYFOOD,MEAT,TURKEY,JR",111,"MURRAY,SOUTHERN KITCHEN,ICED OATMEAL COOKIES",467,1073,Aerobics (high impact),540.0,0
2017-01-22 22:20:03.210235,23,75,176,male,low,2088.0,"FISH,TUNA,LT,CND IN H2O,DRND SOL",86,"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR",364,"WHEY,ACID,DRIED",339,789,"Running (6 mph, 10 min/mile)",720.0,0
2017-01-23 22:20:03.210235,23,75,176,male,low,2088.0,"BEEF,PLATE STK,BNLS,OTSDE SKRT,LN & FAT,0"" FAT,SEL,CKD,GRILD",281,"LIMA BNS,LRG,MATURE SEEDS,CND",79,"LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",116,476,Swimming (light),450.0,0
2017-01-24 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"JUTE,POTHERB,CKD,BLD,DRND,WO/SALT",37,"TURKEY SAUSAGE,FRSH,RAW",155,"CAMPBELL'S RED & WHITE,VEG SOUP,COND",79,271,Racquetball (recreational),315.00000000000006,1
2017-01-25 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BEEF,BRISKET,FLAT HALF,LN,1/8"" FAT,CHOIC,RAW",129,"TOFU,DRIED-FROZEN (KOYADOFU),PREP W/CA SULFATE",472,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT & SKN,CKD,ROTISSERIE,",184,785,Carrying Groceries (light),315.00000000000006,0
2017-01-26 22:20:03.210235,23,75,176,male,low,2088.0,"TORTILLA CHIPS,TACO-FLAVOR",480,"TUNA,LT,CND IN OIL,WO/SALT,DRND SOL",198,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",248,926,"Cycling (stationary, 250W)",990.0,1
2017-01-27 22:20:03.210235,23,75,176,male,low,2088.0,"FAST FOODS,TOSTADA,W/BF&CHS",193,"WORTHINGTON MULTIGRAIN CUTLETS,CND,UNPREP",108,"SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",4,305,Aerobics (high impact),540.0,1
2017-01-28 22:20:03.210235,23,75,176,male,heavy,3001.5,"BREAD,RICE BRAN,TOASTED",264,"BROADBEANS (FAVA BNS),MATURE SEEDS,CND",71,"TANGERINE JUICE,RAW",43,378,Playing with Kids (sitting),180.0,0
2017-01-29 22:20:03.210235,23,75,176,male,heavy,3001.5,"PORK,FRSH,LOIN,WHL,LN,CKD,BRSD",204,"BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,SEL,RAW",288,"ORANGE-GRAPEFRUIT JUC,CND,UNSWTND",43,535,"Cycling (stationary, 250W)",990.0,1
2017-01-30 22:20:03.210235,23,75,176,male,heavy,3001.5,"BABYFOOD,DINNER,BF W/VEG",96,"WENDY'S,CHICK NUGGETS",326,"CRABAPPLES,RAW",76,498,Cooking Food,180.0,0
2017-01-31 22:20:03.210235,23,75,176,male,heavy,3001.5,"TEA,INST,UNSWTND,PDR,DECAFFEINATED",315,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",151,"RYE FLOUR,DARK",325,791,Standing (very light),180.0,0
2017-02-01 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"WAXGOURD,(CHINESE PRESERVING MELON),RAW",13,"BEEF,SHLDR STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,CKD,GRILLED",186,"BREADFRUIT SEEDS,ROASTED",207,406,Cooking Food,180.0,0
2017-02-02 22:20:03.210235,23,75,176,male,mid,2697.0,"FAST FOODS,HAMBURGER; DOUBLE,REG,PATTY; PLN",295,"STEELHEAD TROUT,DRIED,FLESH (SHOSHONE BANNOCK)",382,"PREGO PASTA,ORGANIC MUSHROOM ITALIAN SAU,RTS",72,749,"Cycling (stationary, 100W)",405.0,0
2017-02-03 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,FRIED,BATTER",260,"TURKEY RST,BNLESS,FRZ,SEASONED,LT&DK MEAT,RAW",120,415,Carrying Groceries (light),315.00000000000006,0
2017-02-04 22:20:03.210235,23,75,176,male,low,2088.0,"FIREWEED,YOUNG LEAVES,RAW (ALASKA NATIVE)",44,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,CHOIC,CKD,BRLD",273,"KEEBLER,HOLIDAY JINGLES COOKIES",470,787,Washing Dishes/Ironing,180.0,0
2017-02-05 22:20:03.210235,23,75,176,male,very_heavy,3306.0,"INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",69,"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",68,"SUNSHINE,CHEEZ-IT,SNACK MIX,WHITE CHEDDAR",473,610,Racquetball (recreational),315.00000000000006,0
